episode,model,config,r_horiz_km,r_vert_km,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
34,FineTune,Base (100%),10.0,5.0,False,False,True,-526.35911849706,2292,1.6826422408049833,2292,0.01351823222001975,3898.0660298715043
35,FineTune,Base (100%),10.0,5.0,True,False,False,975.1776043070107,2182,1.6259649819604904,2182,0.015244472897304637,1486.3661137321221
36,FineTune,Base (100%),10.0,5.0,True,False,False,922.734364274584,3392,1.218355948661242,3305,0.009704460068898616,1486.0548849914119
37,FineTune,Base (100%),10.0,5.0,True,False,False,864.8293160925003,3587,1.1466917221300714,3587,0.008541546344758436,776.6867735305433
38,FineTune,Base (100%),10.0,5.0,False,False,True,-580.5407440585169,3017,1.4709114614190262,3017,0.010580566021811332,904.7041616784454
39,FineTune,Base (100%),10.0,5.0,False,False,True,-636.016467802033,3208,1.1436743069207937,3208,0.009293685885942694,1276.227304904094
40,FineTune,Base (100%),10.0,5.0,True,False,False,919.7108509680587,3681,1.3080451024742383,3593,0.009257221461433351,1488.3235210885227
41,FineTune,Base (100%),10.0,5.0,False,False,True,-620.7811144478453,3601,1.2922821609334028,3601,0.009046457552254264,609.7638311085935
42,FineTune,Base (100%),10.0,5.0,True,False,False,867.2247646966418,3171,1.1890825494602504,3171,0.009808089334064175,1472.358068030368
43,FineTune,Base (100%),10.0,5.0,True,False,False,971.6777354163834,2426,1.7086158287300064,2426,0.013557293443615661,1476.6470012758764
44,FineTune,Base (100%),10.0,5.0,True,False,False,971.360350625107,2652,1.4872874228788757,2605,0.014117885176083214,1486.3768470759683
45,FineTune,Base (100%),10.0,5.0,False,False,True,-539.5018000692868,2301,1.4103967878442372,2042,0.014157356579569545,5161.75893340215
