model,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,episode,config,r_horiz_km,r_vert_km
Heuristic,0,1,0,-505.17,340,0.997,340,0.02064,41,Scale 120%,12.0,6.0
Heuristic,0,1,0,-503.92,137,0.998,137,0.01781,42,Scale 120%,12.0,6.0
Heuristic,0,0,0,-179.15,3999,1.459,2370,0.00607,43,Scale 120%,12.0,6.0
Heuristic,0,0,0,-190.03,3999,1.052,2713,0.005,44,Scale 120%,12.0,6.0
Heuristic,0,1,0,-504.22,279,0.996,279,0.02118,45,Scale 120%,12.0,6.0
Heuristic,0,0,0,-266.48,3999,1.001,1981,0.00601,46,Scale 120%,12.0,6.0
Heuristic,0,1,0,-503.99,149,0.998,149,0.01841,47,Scale 120%,12.0,6.0
Heuristic,0,1,0,-506.42,363,0.998,363,0.02101,48,Scale 120%,12.0,6.0
Heuristic,0,1,0,-504.63,305,0.999,305,0.02045,49,Scale 120%,12.0,6.0
Heuristic,0,1,0,-507.2,219,0.999,219,0.01717,0,Scale 150%,15.0,7.5
Heuristic,0,1,0,-506.8,255,0.998,255,0.02003,1,Scale 150%,15.0,7.5
Heuristic,0,1,0,-505.08,144,0.999,144,0.01723,2,Scale 150%,15.0,7.5
Heuristic,0,1,0,-507.78,287,0.999,287,0.01828,3,Scale 150%,15.0,7.5
Heuristic,0,0,0,-265.79,3999,1.111,2978,0.00548,4,Scale 150%,15.0,7.5
Heuristic,0,1,0,-503.84,99,0.999,99,0.01608,5,Scale 150%,15.0,7.5
Heuristic,0,1,0,-505.24,257,0.999,257,0.01968,6,Scale 150%,15.0,7.5
Heuristic,0,1,0,-502.35,55,0.999,55,0.01408,7,Scale 150%,15.0,7.5
Heuristic,0,1,0,-504.54,146,1.0,146,0.0185,8,Scale 150%,15.0,7.5
Heuristic,0,1,0,-506.07,154,0.999,154,0.01607,9,Scale 150%,15.0,7.5
Heuristic,0,1,0,-506.55,217,0.998,217,0.01905,10,Scale 150%,15.0,7.5
Heuristic,0,1,0,-502.57,63,0.998,63,0.01432,11,Scale 150%,15.0,7.5
Heuristic,0,1,0,-506.45,399,0.999,399,0.02149,12,Scale 150%,15.0,7.5
Heuristic,0,1,0,-502.34,56,0.999,56,0.01391,13,Scale 150%,15.0,7.5
Heuristic,0,1,0,-503.98,309,0.997,309,0.02158,14,Scale 150%,15.0,7.5
Heuristic,0,1,0,-505.72,179,0.999,179,0.01817,15,Scale 150%,15.0,7.5
Heuristic,0,1,0,-502.31,55,0.998,55,0.014,16,Scale 150%,15.0,7.5
Heuristic,0,1,0,-505.43,186,1.0,186,0.0193,17,Scale 150%,15.0,7.5
Heuristic,0,1,0,-505.47,241,0.997,241,0.02002,18,Scale 150%,15.0,7.5
Heuristic,0,1,0,-506.47,159,1.0,159,0.01639,19,Scale 150%,15.0,7.5
Heuristic,0,1,0,-503.48,78,0.999,78,0.01465,20,Scale 150%,15.0,7.5
Heuristic,0,1,0,-504.64,158,0.998,158,0.01888,21,Scale 150%,15.0,7.5
Heuristic,0,1,0,-507.79,259,0.999,259,0.01961,22,Scale 150%,15.0,7.5
Heuristic,0,1,0,-514.7,434,1.0,434,0.01856,23,Scale 150%,15.0,7.5
Heuristic,0,1,0,-500.84,425,0.999,425,0.02329,24,Scale 150%,15.0,7.5
Heuristic,0,1,0,-506.16,198,0.999,198,0.01868,25,Scale 150%,15.0,7.5
Heuristic,0,1,0,-500.0,1,0.99,1,0.01109,26,Scale 150%,15.0,7.5
Heuristic,0,1,0,-510.68,333,0.999,333,0.01937,27,Scale 150%,15.0,7.5
Heuristic,0,1,0,-504.64,290,0.999,290,0.02136,28,Scale 150%,15.0,7.5
Heuristic,0,1,0,-504.72,167,1.0,167,0.01918,29,Scale 150%,15.0,7.5
Heuristic,0,1,0,-500.0,1,0.92,1,0.01121,30,Scale 150%,15.0,7.5
Heuristic,0,1,0,-510.0,286,0.999,286,0.01892,31,Scale 150%,15.0,7.5
Heuristic,0,1,0,-502.33,53,0.998,53,0.01392,32,Scale 150%,15.0,7.5
Heuristic,0,1,0,-506.98,190,0.998,190,0.01747,33,Scale 150%,15.0,7.5
Heuristic,0,1,0,-507.53,261,0.999,261,0.01861,34,Scale 150%,15.0,7.5
Heuristic,0,1,0,-507.65,229,0.999,229,0.01881,35,Scale 150%,15.0,7.5
Heuristic,0,1,0,-549.01,1775,0.999,1568,0.01325,36,Scale 150%,15.0,7.5
Heuristic,0,1,0,-504.29,142,0.998,142,0.0184,37,Scale 150%,15.0,7.5
Heuristic,0,1,0,-505.56,238,0.997,238,0.01924,38,Scale 150%,15.0,7.5
Heuristic,0,1,0,-500.0,1,0.876,1,0.01109,39,Scale 150%,15.0,7.5
Heuristic,0,1,0,-505.12,315,0.998,315,0.02031,40,Scale 150%,15.0,7.5
Heuristic,0,1,0,-505.51,161,0.999,161,0.01781,41,Scale 150%,15.0,7.5
Heuristic,0,1,0,-500.0,1,0.952,1,0.01107,42,Scale 150%,15.0,7.5
Heuristic,0,1,0,-507.0,288,0.999,288,0.01834,43,Scale 150%,15.0,7.5
Heuristic,0,1,0,-506.55,238,1.0,238,0.01915,44,Scale 150%,15.0,7.5
Heuristic,0,1,0,-504.01,114,0.998,114,0.01678,45,Scale 150%,15.0,7.5
Heuristic,0,1,0,-509.02,231,0.997,231,0.017,46,Scale 150%,15.0,7.5
Heuristic,0,1,0,-500.0,1,0.987,1,0.01113,47,Scale 150%,15.0,7.5
Heuristic,0,1,0,-504.45,142,1.0,142,0.01799,48,Scale 150%,15.0,7.5
Heuristic,0,1,0,-505.59,151,1.0,151,0.01679,49,Scale 150%,15.0,7.5
