episode,model,popup_triggered,step_at_popup,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
35,Scratch,1,1359,False,True,False,-498.2818099961607,1700,0.9999800150500013,342,0.004642862365029845,26856.939955099922
36,Scratch,0,-1,False,False,True,-585.1408585175881,2063,3.8648209363964376,0,-0.0013490089523236974,37186.58890733932
37,Scratch,1,1098,False,True,False,-502.087307044974,1498,0.9988372696523172,401,0.004710994831725847,24358.14325425358
38,Scratch,0,-1,False,False,True,-576.2462194466757,2180,3.123407236871205,0,-0.0005818760135156732,34094.761558947335
39,Scratch,1,66,False,True,False,-517.0948992654384,584,0.9996964053442877,519,0.006690851321312639,27182.914455361566
40,Scratch,0,-1,False,False,True,-582.6783529871902,2051,3.8110621751724585,0,-0.0011889090929149743,38002.60827019318
41,Scratch,1,1119,False,True,False,-503.6786887154433,1494,0.9995106347429037,376,0.004656645967686727,26229.028401052128
42,Scratch,1,158,False,True,False,-512.3783520710251,649,0.9997120563776939,492,0.006787232881986592,28168.895205938374
43,Scratch,1,1298,False,True,False,-495.1621729662347,1646,0.9997512456538353,349,0.005458086940473631,25382.62979146777
44,Scratch,1,1367,False,True,False,-496.56453702479985,1692,0.9998468958481682,326,0.005003470161440624,30461.13682089094
45,Scratch,1,893,False,True,False,-501.3291747161927,1255,0.9998806049806648,363,0.005003746555794879,31458.134495469058
46,Scratch,1,1195,False,True,False,-504.849784745101,1530,0.998836442124831,336,0.004682962960343336,30319.886855834528
47,Scratch,1,216,False,True,False,-511.5347711202498,704,0.9990962494019062,489,0.006560192432981915,26622.156123020613
48,Scratch,1,1148,False,True,False,-501.47159453473046,1497,0.9990969662190808,350,0.00460781315478434,29112.6835430646
49,Scratch,1,955,False,True,False,-504.63324253178087,1338,0.998909012655471,384,0.004866827030563524,31280.580214538426
