episode,model,init_alt_m,init_hdg_noise_deg,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
19,FT_Return,2167.5,-0.03,False,False,True,-578.5704670497424,1504,1.4610779792460546,1504,0.0013157242240044767,34680.768844353515
20,FT_Return,3397.4,7.91,True,False,False,927.0151204611356,3824,1.5290306782157583,3747,0.007819449762267023,337.41991309261533
21,FT_Return,3924.9,-8.79,True,False,False,956.3974423293415,3784,1.5896113494026025,3784,0.008291686624373995,249.33304002137953
22,FT_Return,3920.9,-23.56,False,False,False,-133.1408155443513,3999,2.015376188765523,3694,0.008424850295751846,784.2297857976561
23,FT_Return,3480.4,2.07,False,False,False,-156.4831550727655,3999,1.5531800620835876,3853,0.008148569429577231,1046.0740557203092
24,FT_Return,3639.3,-17.53,False,False,True,-490.04839538526073,625,3.8491992331400775,70,0.00605457411498836,35319.12743501927
25,FT_Return,2458.9,-26.87,False,False,False,-195.56631556586183,3999,1.378491759818353,3625,0.009208958996414041,976.8986697416533
26,FT_Return,2826.6,-25.91,False,False,True,-586.4741655949105,2557,1.4183073938593074,2557,0.011076836568136177,2652.0242189631604
27,FT_Return,3432.5,4.38,False,False,False,-157.1126930344182,3999,1.7597270483167464,3991,0.007914952603114362,1421.9480896127063
28,FT_Return,3547.8,16.71,False,False,False,-136.1004020647621,3999,1.6909624970954795,3887,0.004901044072954079,18004.6708491568
29,FT_Return,2523.0,-28.35,False,False,False,-171.67416072138818,3999,1.6125802510640823,3999,0.004070072746280309,19579.341772813696
30,FT_Return,3813.0,-6.12,False,False,False,-202.88319208965072,3999,1.849298748160043,3999,0.002872018197763723,18942.54941649087
31,FT_Return,2694.1,-0.74,False,False,False,-217.21928748762303,3999,1.483039518677629,3999,0.007431848054748031,1326.5071811451878
32,FT_Return,2614.7,-16.38,False,False,True,-527.1032712846544,617,1.7532975551801764,617,0.0023374975085867136,34383.166962896714
33,FT_Return,3737.6,-4.78,False,False,False,-118.51704208066388,3999,1.684680349306626,3081,0.009599576346777699,1215.3072155144157
34,FT_Return,2981.7,7.15,True,False,False,937.1121470115977,3794,1.4040800504939281,3519,0.00902859082606693,627.8482288625815
35,FT_Return,3193.3,9.29,False,False,False,-165.3575319540405,3999,1.6894804900052085,3506,0.008407770063635193,1127.748057558345
36,FT_Return,2364.4,-0.7,False,False,True,-499.0953826220861,1078,2.3905904858501206,1033,0.004615602473271502,29427.914510403967
37,FT_Return,2346.2,19.61,False,False,False,-248.40390613315947,3999,1.5824233278745012,3999,0.007591490886538884,1057.7231813912736
38,FT_Return,3990.9,24.69,True,False,False,988.4629666721938,3983,1.980598380866625,3919,0.008153175723512271,353.2116646286835
39,FT_Return,3447.4,5.03,False,False,True,-581.926329206761,1186,1.7112341801067004,1186,-0.0015249637073524436,32899.21347192486
40,FT_Return,3592.7,18.29,False,False,False,-155.1627533542818,3999,1.6535441640098383,3854,0.004545010484908296,17389.832629396184
41,FT_Return,2542.1,22.95,False,False,False,-189.1857845004218,3999,1.9082214613745252,3999,0.003463917573136176,19334.609012155848
42,FT_Return,2190.5,-16.19,False,False,False,-279.5882511162615,3999,1.709964179676828,2817,-0.00026512922311852075,33633.128295141425
43,FT_Return,2895.6,20.34,False,False,True,-501.6019350532139,919,2.2569045791194724,919,0.0043841757128820205,30338.33581218741
44,FT_Return,2463.2,27.78,False,False,True,-521.2216733791576,1255,2.1804445712827634,1255,0.0030261180231290034,35130.37053481289
45,FT_Return,3294.6,29.49,False,False,False,-191.34356834992138,3999,1.2911817856772378,3468,0.009351911790497302,340.964717848229
46,FT_Return,3957.0,-10.11,False,False,False,-105.84178952761914,3999,1.9070401669810826,3624,0.008361170700591971,4047.7988332384366
47,FT_Return,3012.3,-17.33,False,False,False,-237.33724815336257,3999,1.284014492311127,3590,0.0074531626897330686,1434.428335726465
