episode,model,init_alt_m,init_hdg_noise_deg,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
24,FineTune,3114.4,-15.8,True,False,False,977.8475974439652,3227,1.709636757521615,2734,0.011656795304265905,1486.877049656718
25,FineTune,3678.3,26.07,False,False,True,-560.6385945613808,3331,1.4251870864413791,3331,0.010290556860488525,3528.850759650394
26,FineTune,2059.9,4.86,True,False,False,804.2860190948297,3317,1.054417469163277,3317,0.00889353752107671,1477.1101077164424
27,FineTune,2900.3,-18.78,True,False,False,908.467210348295,2888,1.723892972210347,2888,0.010932747435266876,1498.7673371602825
28,FineTune,3931.4,-15.42,False,False,False,-139.842811657443,3999,1.5648272751926866,3863,0.009050695348382687,1408.0169824111204
29,FineTune,2137.2,-6.12,False,False,False,-311.9135709548017,3999,1.3000984699446727,3999,0.007442852238937557,6092.818009306542
30,FineTune,2302.2,-7.95,False,True,False,-623.7041518557793,1815,0.9999796617919352,1815,0.008135572820835097,15661.579747654014
31,FineTune,3741.3,7.43,False,False,True,-575.8632528313848,2760,1.4512941913144783,2760,0.010429329118074798,2261.9469255443523
32,FineTune,3334.9,4.6,False,False,True,-524.384554356298,2216,1.455001704207101,2178,0.015672746780287534,1095.929564203073
33,FineTune,3529.3,-26.72,True,False,False,983.8925916495348,3408,1.4341007874163971,2033,0.011182484329568967,1492.7181026929486
34,FineTune,3497.6,-0.6,False,False,True,-537.8228741034308,2525,1.7394921458621733,2525,0.010801490373423846,7608.0553618961685
35,FineTune,3712.5,17.02,True,False,False,986.7496779150943,2335,1.7156375704646512,2335,0.014249887853844873,1477.4039041319681
36,FineTune,3929.1,20.28,True,False,False,969.2554817179255,3286,1.3851912317370536,3128,0.01001394003966959,1499.057709366302
37,FineTune,2546.9,8.21,True,False,False,833.1185582759499,3668,1.082387762660212,3668,0.00844545819731348,437.69462591353386
38,FineTune,3968.9,-6.19,True,False,False,982.4930101602702,2695,1.7384408220638554,2695,0.011628046638161214,1488.329820503545
39,FineTune,2417.8,29.63,True,False,False,881.1137251040698,2428,1.1426618361616172,2428,0.012192297111914194,1488.1742169815586
40,FineTune,2802.2,7.88,True,False,False,902.6879663998966,3734,1.1894628561375873,3662,0.009124024817134065,1495.5874885108701
41,FineTune,2118.4,-17.47,True,False,False,946.1445132727598,2098,1.44128121709779,2098,0.015447259635561445,776.6655464401996
42,FineTune,2025.4,10.06,False,True,False,-535.0294290875963,735,0.9998157847616894,735,0.01036502192392978,24955.96639204542
43,FineTune,2394.8,-15.46,True,False,False,962.0828350426619,2262,1.6301928175743847,2262,0.014529508087956536,1499.9096172842776
44,FineTune,3770.0,27.68,False,False,True,-481.5060201820328,2319,1.814773818249661,2182,0.015905777971347998,2042.6641384691493
45,FineTune,2848.7,1.09,False,False,False,-254.3414456912613,3999,1.3591734560414028,1522,0.007039059545739141,9588.718693444333
46,FineTune,3021.8,25.13,True,False,False,973.051979805674,2555,1.4544553489807401,2482,0.01408769924725881,1492.4472093668248
47,FineTune,3235.2,-16.48,True,False,False,876.793292029054,3116,1.2276807450125649,3116,0.00954523312119417,1496.7234280528082
48,FineTune,3769.8,3.65,False,False,True,-515.5909899604288,2540,1.5821292838185232,2499,0.013652356192853578,1333.8356904731452
