model,episode,elo
PPO_SelfPlay,125,809.0076904296875
PPO_SelfPlay,126,833.0126953125
PPO_SelfPlay,127,824.1605834960938
PPO_SelfPlay,128,847.631103515625
PPO_SelfPlay,129,870.230224609375
PPO_SelfPlay,130,891.943115234375
PPO_SelfPlay,131,912.7648315429688
PPO_SelfPlay,132,900.6998291015625
PPO_SelfPlay,133,889.1521606445312
PPO_SelfPlay,134,910.0905151367188
PPO_SelfPlay,135,930.1409301757812
PPO_SelfPlay,136,949.3154296875
PPO_SelfPlay,137,967.6331176757812
PPO_SelfPlay,138,985.119384765625
PPO_SelfPlay,139,969.80419921875
PPO_SelfPlay,140,955.1912841796875
PPO_SelfPlay,141,941.2434692382812
PPO_SelfPlay,142,927.9237670898438
PPO_SelfPlay,143,915.1962280273438
PPO_SelfPlay,144,903.0258178710938
PPO_SelfPlay,145,923.379150390625
PPO_SelfPlay,146,910.8515625
PPO_SelfPlay,147,930.8692626953125
PPO_SelfPlay,148,918.011474609375
PPO_SelfPlay,149,937.7186279296875
PPO_SelfPlay,150,956.5564575195312
PPO_SelfPlay,151,942.5467529296875
PPO_SelfPlay,152,929.168701171875
PPO_SelfPlay,153,916.3861694335938
PPO_SelfPlay,154,904.1640625
PPO_SelfPlay,155,892.4688110351562
PPO_SelfPlay,156,881.2685546875
PPO_SelfPlay,157,870.532958984375
PPO_SelfPlay,158,892.2337036132812
PPO_SelfPlay,159,881.0432739257812
PPO_SelfPlay,160,870.3169555664062
PPO_SelfPlay,161,860.0263671875
PPO_SelfPlay,162,850.1448974609375
PPO_SelfPlay,163,840.6476440429688
PPO_SelfPlay,164,831.5114135742188
PPO_SelfPlay,165,822.7145385742188
PPO_SelfPlay,166,846.237060546875
PPO_SelfPlay,167,836.8893432617188
PPO_SelfPlay,168,827.8936767578125
PPO_SelfPlay,169,851.2290649414062
PPO_SelfPlay,170,841.6900634765625
PPO_SelfPlay,171,832.5146484375
PPO_SelfPlay,172,823.680908203125
PPO_SelfPlay,173,815.168701171875
PPO_SelfPlay,174,806.9590454101562
PPO_SelfPlay,175,799.0345458984375
PPO_SelfPlay,176,791.3788452148438
PPO_SelfPlay,177,783.9768676757812
PPO_SelfPlay,178,776.8145751953125
PPO_SelfPlay,179,769.8788452148438
PPO_SelfPlay,180,763.1575927734375
PPO_SelfPlay,181,756.639404296875
PPO_SelfPlay,182,750.3138427734375
PPO_SelfPlay,183,776.1710205078125
PPO_SelfPlay,184,801.2554321289062
PPO_SelfPlay,185,825.5250244140625
PPO_SelfPlay,186,816.9462890625
PPO_SelfPlay,187,808.674072265625
PPO_SelfPlay,188,800.6905517578125
PPO_SelfPlay,189,824.9791870117188
PPO_SelfPlay,190,816.4202270507812
PPO_SelfPlay,191,808.16650390625
PPO_SelfPlay,192,832.2005004882812
PPO_SelfPlay,193,855.3783569335938
PPO_SelfPlay,194,877.6786499023438
PPO_SelfPlay,195,899.0900268554688
PPO_SelfPlay,196,887.6107177734375
PPO_SelfPlay,197,908.6131591796875
PPO_SelfPlay,198,896.7272338867188
PPO_SelfPlay,199,885.3478393554688
PPO_SelfPlay,200,874.444091796875
PPO_SelfPlay,201,863.9869384765625
PPO_SelfPlay,202,853.9490356445312
PPO_SelfPlay,203,844.304931640625
PPO_SelfPlay,204,835.0306396484375
PPO_SelfPlay,205,826.10400390625
PPO_SelfPlay,206,817.5043334960938
PPO_SelfPlay,207,809.21240234375
PPO_SelfPlay,208,801.2102661132812
PPO_SelfPlay,209,793.4813842773438
PPO_SelfPlay,210,786.0103759765625
PPO_SelfPlay,211,778.7827758789062
PPO_SelfPlay,212,771.7852783203125
PPO_SelfPlay,213,765.0055541992188
PPO_SelfPlay,214,790.4320068359375
PPO_SelfPlay,215,815.0609741210938
PPO_SelfPlay,216,806.8551635742188
PPO_SelfPlay,217,798.9342041015625
PPO_SelfPlay,218,823.2818603515625
PPO_SelfPlay,219,846.7839965820312
PPO_SelfPlay,220,837.4154663085938
PPO_SelfPlay,221,828.4002075195312
PPO_SelfPlay,222,851.7171630859375
PPO_SelfPlay,223,842.1593017578125
PPO_SelfPlay,224,864.9661865234375
PPO_SelfPlay,225,854.8894653320312
PPO_SelfPlay,226,845.2088012695312
PPO_SelfPlay,227,867.9002075195312
PPO_SelfPlay,228,889.7064819335938
PPO_SelfPlay,229,910.6217041015625
PPO_SelfPlay,230,930.6492309570312
PPO_SelfPlay,231,917.8012084960938
PPO_SelfPlay,232,937.5175170898438
PPO_SelfPlay,233,956.3643188476562
PPO_SelfPlay,234,974.3633422851562
PPO_SelfPlay,235,991.5418090820312
PPO_SelfPlay,236,1007.9312133789062
PPO_SelfPlay,237,1023.5660400390625
PPO_SelfPlay,238,1038.482421875
PPO_SelfPlay,239,1052.717529296875
PPO_SelfPlay,240,1066.3082275390625
PPO_SelfPlay,241,1079.2911376953125
PPO_SelfPlay,242,1091.7017822265625
PPO_SelfPlay,243,1071.5740966796875
PPO_SelfPlay,244,1084.3238525390625
PPO_SelfPlay,245,1096.51513671875
PPO_SelfPlay,246,1108.181396484375
PPO_SelfPlay,247,1119.3543701171875
PPO_SelfPlay,248,1130.064453125
PPO_SelfPlay,249,1140.3397216796875
PPO_SelfPlay,250,1150.206787109375
PPO_SelfPlay,251,1159.6905517578125
PPO_SelfPlay,252,1168.8140869140625
PPO_SelfPlay,253,1177.598876953125
PPO_SelfPlay,254,1186.065185546875
PPO_SelfPlay,255,1194.2315673828125
PPO_SelfPlay,256,1202.115234375
PPO_SelfPlay,257,1209.732421875
PPO_SelfPlay,258,1217.09814453125
PPO_SelfPlay,259,1224.22607421875
PPO_SelfPlay,260,1231.1292724609375
PPO_SelfPlay,261,1237.81982421875
PPO_SelfPlay,262,1253.194091796875
PPO_SelfPlay,263,1259.2373046875
PPO_SelfPlay,264,1265.11181640625
PPO_SelfPlay,265,1270.825927734375
PPO_SelfPlay,266,1276.38720703125
PPO_SelfPlay,267,1281.8028564453125
PPO_SelfPlay,268,1287.079833984375
PPO_SelfPlay,269,1292.2242431640625
PPO_SelfPlay,270,1297.2420654296875
PPO_SelfPlay,271,1302.138916015625
PPO_SelfPlay,272,1306.919921875
PPO_SelfPlay,273,1311.590087890625
PPO_SelfPlay,274,1316.1541748046875
PPO_SelfPlay,275,1320.6163330078125
PPO_SelfPlay,276,1324.980712890625
PPO_SelfPlay,277,1329.2513427734375
PPO_SelfPlay,278,1333.4317626953125
PPO_SelfPlay,279,1337.5255126953125
PPO_SelfPlay,280,1315.856689453125
PPO_SelfPlay,281,1320.325439453125
PPO_SelfPlay,282,1324.6961669921875
PPO_SelfPlay,283,1304.46240234375
PPO_SelfPlay,284,1309.1893310546875
PPO_SelfPlay,285,1313.8077392578125
PPO_SelfPlay,286,1318.322021484375
PPO_SelfPlay,287,1322.7364501953125
PPO_SelfPlay,288,1303.4681396484375
PPO_SelfPlay,289,1308.2181396484375
PPO_SelfPlay,290,1293.564697265625
PPO_SelfPlay,291,1276.482177734375
PPO_SelfPlay,292,1281.8953857421875
PPO_SelfPlay,293,1287.169921875
PPO_SelfPlay,294,1292.3121337890625
PPO_SelfPlay,295,1297.327880859375
PPO_SelfPlay,296,1280.857177734375
PPO_SelfPlay,297,1254.1580810546875
PPO_SelfPlay,298,1228.1741943359375
PPO_SelfPlay,299,1217.654052734375
PPO_SelfPlay,300,1192.7642822265625
PPO_SelfPlay,301,1181.7010498046875
PPO_SelfPlay,302,1158.021240234375
PPO_SelfPlay,303,1148.7818603515625
PPO_SelfPlay,304,1126.3204345703125
PPO_SelfPlay,305,1104.74658203125
PPO_SelfPlay,306,1084.0638427734375
PPO_SelfPlay,307,1064.266357421875
PPO_SelfPlay,308,1058.4022216796875
PPO_SelfPlay,309,1085.6715087890625
PPO_SelfPlay,310,1065.80419921875
PPO_SelfPlay,311,1078.8095703125
PPO_SelfPlay,312,1059.2412109375
PPO_SelfPlay,313,1040.5391845703125
PPO_SelfPlay,314,1022.6807250976562
PPO_SelfPlay,315,1005.6376953125
PPO_SelfPlay,316,1001.4685668945312
PPO_SelfPlay,317,985.4009399414062
PPO_SelfPlay,318,1002.0728759765625
PPO_SelfPlay,319,985.9774169921875
PPO_SelfPlay,320,1002.622802734375
PPO_SelfPlay,321,1018.5020141601562
PPO_SelfPlay,322,1001.6508178710938
PPO_SelfPlay,323,985.5747680664062
PPO_SelfPlay,324,970.2387084960938
PPO_SelfPlay,325,955.6058959960938
PPO_SelfPlay,326,941.6392822265625
PPO_SelfPlay,327,928.3018798828125
PPO_SelfPlay,328,915.5576171875
PPO_SelfPlay,329,903.3715209960938
PPO_SelfPlay,330,891.7101440429688
PPO_SelfPlay,331,880.5416259765625
PPO_SelfPlay,332,901.8358764648438
PPO_SelfPlay,333,922.2399291992188
PPO_SelfPlay,334,941.7623291015625
PPO_SelfPlay,335,960.41943359375
PPO_SelfPlay,336,978.2343139648438
PPO_SelfPlay,337,963.2353515625
PPO_SelfPlay,338,948.9221801757812
PPO_SelfPlay,339,967.257568359375
PPO_SelfPlay,340,984.760986328125
PPO_SelfPlay,341,1001.4622802734375
PPO_SelfPlay,342,1017.3949584960938
PPO_SelfPlay,343,1000.5945434570312
PPO_SelfPlay,344,1016.5671997070312
PPO_SelfPlay,345,1031.8048095703125
PPO_SelfPlay,346,1046.34423828125
PPO_SelfPlay,347,1060.2225341796875
PPO_SelfPlay,348,1073.4766845703125
PPO_SelfPlay,349,1086.1424560546875
PPO_SelfPlay,350,1098.2547607421875
PPO_SelfPlay,351,1109.846923828125
PPO_SelfPlay,352,1088.9503173828125
PPO_SelfPlay,353,1100.9412841796875
PPO_SelfPlay,354,1080.419189453125
