episode,model,init_alt_m,init_hdg_noise_deg,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
21,Scratch,3526.1,-12.72,False,True,False,-520.3087029594537,1294,0.9990813966306323,1294,0.006118859302360858,23707.073994339935
22,Scratch,2998.6,14.16,False,True,False,-518.4956962165155,1442,0.999752083056991,1442,0.006118122150745458,25654.943263034518
23,Scratch,2397.2,-18.44,False,False,True,-524.9218007073737,1220,3.5134067752649787,1057,-0.00017868513295950242,33849.26350016359
24,Scratch,3037.1,-15.44,False,False,True,-572.1598975837608,1843,4.982746561885129,0,-0.0018241923015270083,42465.36743266491
25,Scratch,3727.8,-9.17,False,True,False,-514.7847052734738,1246,0.9992777767555756,1246,0.006447972192763274,29770.4892949706
26,Scratch,3202.2,6.09,False,True,False,-525.4629387450719,769,0.9997824108307511,769,0.00628703505685258,26142.309156112457
27,Scratch,3294.7,-22.26,False,True,False,-520.3264412108983,1746,0.9995219963314078,1746,0.006043153298234443,22521.06077858174
28,Scratch,2212.0,25.45,False,False,True,-500.67612927805055,1587,2.598838777002031,1566,0.002904397575859706,32994.90838176029
29,Scratch,3168.2,2.02,False,True,False,-517.3813182826655,1275,0.9991364616052842,1275,0.006152850184297023,28012.483115126382
30,Scratch,3571.3,6.02,False,True,False,-524.222655502972,717,0.9997639015914042,717,0.006502613200933838,25765.985076577166
31,Scratch,2847.7,-23.93,False,True,False,-519.7447877594797,1487,0.9995295082773099,1487,0.005977402263121835,22157.01944752664
32,Scratch,3214.4,-27.92,False,True,False,-518.9640146759124,821,0.9991742130584118,821,0.0067482144610050455,30284.774071247128
33,Scratch,2410.6,23.35,False,True,False,-513.2690920340214,1007,0.9999997133644802,1007,0.006723555026324463,32835.42387093351
34,Scratch,3155.5,-9.76,False,True,False,-562.448328080867,2219,0.9989948261581423,2219,0.003992268429555306,26022.375830969122
35,Scratch,3481.2,3.06,False,True,False,-517.8550720477679,1375,0.99936118679043,1375,0.006213939655947407,26205.84551442081
36,Scratch,3841.9,-9.2,False,False,True,-552.2253958198716,2045,2.074390682028791,1690,0.0027879054132887164,28701.840748309918
37,Scratch,2421.5,-1.0,False,True,False,-527.3851367259543,1261,0.9997451737893298,1261,0.005782540075710681,24123.368569017683
38,Scratch,3024.8,26.65,False,False,True,-547.067968309038,2244,1.7815132689891864,2244,0.003003484429328109,26087.50986704102
39,Scratch,2255.1,26.72,False,True,False,-521.7325460608436,547,0.9996461522564792,547,0.006095196740888168,27757.00640890757
40,Scratch,2375.0,29.38,False,False,True,-509.30614748624066,1681,2.9039696981592935,1631,0.002367521273832155,31585.927123584886
41,Scratch,2408.6,26.73,False,True,False,-529.2239085426559,1254,0.9998612302358897,1254,0.005775690500062067,25944.10723975204
42,Scratch,3403.9,3.04,False,True,False,-523.4807819822249,734,0.9990855536239646,734,0.006469481011845358,27825.369442300005
43,Scratch,3323.4,-0.07,False,True,False,-512.1504936858248,1755,0.9999935280695366,1753,0.006035072283294846,23775.087974471375
44,Scratch,2851.2,-20.32,False,True,False,-528.8906065057156,1626,0.99920476099285,1626,0.005150637463651078,30550.438616584663
45,Scratch,3073.6,-18.27,False,True,False,-518.0302346963767,995,0.9988696144929401,995,0.006580704791684768,31188.68262016364
46,Scratch,3985.4,-23.58,False,True,False,-514.0994942463095,1279,0.999954704889715,1279,0.006364851176940873,29342.88399720827
47,Scratch,2861.1,18.52,False,True,False,-522.197684985959,685,0.9992266633954898,685,0.006552971678077223,26752.44844245078
48,Scratch,3343.3,-18.16,False,True,False,-520.6809355621056,1214,0.9992018019243363,1214,0.006190008928598391,28494.653269129554
