episode,model,config,r_horiz_km,r_vert_km,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
13,Scratch,Base (100%),10.0,5.0,False,True,False,-525.0198865023469,895,0.9998946945720186,895,0.006228468333886606,29029.84565790828
14,Scratch,Base (100%),10.0,5.0,False,False,True,-518.7560659786936,2149,2.07045595841801,2017,0.003382157477374495,29432.389549488566
15,Scratch,Base (100%),10.0,5.0,False,True,False,-519.2012778057847,1193,0.9995979939179989,1193,0.0061737274916671804,28998.409873479064
16,Scratch,Base (100%),10.0,5.0,False,True,False,-532.2760893632735,980,0.9993272137786038,980,0.005756354301909696,24678.723719538568
17,Scratch,Base (100%),10.0,5.0,False,True,False,-512.5806289984595,1260,0.9993404586397253,1260,0.006403985873732851,30482.682099586953
18,Scratch,Base (100%),10.0,5.0,False,True,False,-521.9549140169727,1484,0.9997322220156944,1484,0.006043065258498156,23982.061167355856
19,Scratch,Base (100%),10.0,5.0,False,True,False,-521.7817592578546,1052,0.9996695780317811,1052,0.006305620503677951,30026.11775351016
20,Scratch,Base (100%),10.0,5.0,False,True,False,-531.935256546506,1002,0.9996337609944997,1002,0.005873584460893542,24353.27011704737
21,Scratch,Base (100%),10.0,5.0,False,True,False,-523.8992150032747,1271,0.9992494565527359,1271,0.006023652794231978,23969.477341294314
22,Scratch,Base (100%),10.0,5.0,False,True,False,-514.7427196429031,1390,0.9988615400274795,1390,0.006266139429276972,25766.459765874122
23,Scratch,Base (100%),10.0,5.0,False,False,True,-535.3113447773655,1492,3.514448870793522,1224,-0.0002337516190409817,33980.832765112114
24,Scratch,Base (100%),10.0,5.0,False,False,True,-573.0541022387141,1895,5.015731835284259,0,-0.0016509882851716584,42233.2658026308
25,Scratch,Base (100%),10.0,5.0,False,True,False,-516.4424087850475,1219,0.9997120668305286,1219,0.006334033376372216,30084.185462812795
26,Scratch,Base (100%),10.0,5.0,False,True,False,-524.7536262120929,745,0.9993292034511294,745,0.006331450821216013,26259.83150750911
27,Scratch,Base (100%),10.0,5.0,False,True,False,-519.349086279143,1667,0.9999485058436851,1667,0.0060730714056503035,22949.771588938172
28,Scratch,Base (100%),10.0,5.0,False,True,False,-510.7480949757742,1737,0.9996799901770008,1672,0.005817957999167098,27497.113321347002
29,Scratch,Base (100%),10.0,5.0,False,True,False,-517.487551120142,1271,0.9996375035080404,1271,0.006133826561429319,28061.13287151836
30,Scratch,Base (100%),10.0,5.0,False,True,False,-520.9259507824477,617,0.9990608494717161,617,0.00677219405307879,26249.60753879087
31,Scratch,Base (100%),10.0,5.0,False,True,False,-523.4801405510764,1553,0.9998828240413202,1553,0.005859585009863277,21946.575318239324
32,Scratch,Base (100%),10.0,5.0,False,True,False,-519.9990138082726,814,0.9998818293917613,814,0.00665582064548921,30408.570826498784
33,Scratch,Base (100%),10.0,5.0,False,True,False,-515.9033830612482,1088,0.999962589118429,1088,0.0065462434323699656,32482.10323943928
34,Scratch,Base (100%),10.0,5.0,False,True,False,-561.8229160200426,2203,0.9993848443741672,2203,0.003992526439801072,26086.318531274937
35,Scratch,Base (100%),10.0,5.0,False,True,False,-517.3017992440658,1356,0.9992533669807437,1356,0.005980658955119161,26640.032432509095
36,Scratch,Base (100%),10.0,5.0,False,False,True,-531.4734666386361,1626,2.733124837490906,1158,0.0022304781649485498,30776.825942489188
37,Scratch,Base (100%),10.0,5.0,False,True,False,-522.9000876383803,1255,0.9999569145183451,1255,0.006002541232912204,23882.024264874097
38,Scratch,Base (100%),10.0,5.0,False,False,True,-543.8928218797563,2239,1.8295805635359912,2239,0.0027389880431504957,26693.677620869217
39,Scratch,Base (100%),10.0,5.0,False,True,False,-515.9605472826852,531,0.9998335748441805,531,0.007424822915501813,27147.79065887669
40,Scratch,Base (100%),10.0,5.0,False,False,True,-526.7148943774295,2217,2.022199554634409,2123,0.0032096858767909674,28448.282131778993
41,Scratch,Base (100%),10.0,5.0,False,True,False,-523.6547270054803,1236,0.9999576708553519,1236,0.006021410010608073,25743.59470366452
42,Scratch,Base (100%),10.0,5.0,False,True,False,-519.3383310151185,643,0.9995482756355305,643,0.006865888540636368,28159.043014718492
43,Scratch,Base (100%),10.0,5.0,False,False,True,-538.9772376159511,2318,1.8851710928122483,2318,0.002894457295138143,27657.28888535716
44,Scratch,Base (100%),10.0,5.0,False,True,False,-512.3662616849189,1360,0.998730195119932,1360,0.006253641113385684,30422.056419843946
45,Scratch,Base (100%),10.0,5.0,False,True,False,-518.7847244214252,997,0.999941267322811,997,0.006548215916881608,31209.26515386066
