episode,steps,score,success,killed_by_sam,crashed,min_tf,in_radar_steps,range2d_last_m,progress_mean
24,1139,-510.5211630253731,0,0,1,1.6555232086939817,1078,28369.48258194954,0.005892404171047372
25,2679,-721.9419946784033,0,0,1,1.2331493206709754,1957,42982.18915211299,-0.0019391948684140388
26,283,-488.05796795896913,0,0,1,3.4332731277240085,84,34645.81139271857,0.014188042559853623
27,280,-490.0711203590308,0,0,1,3.92405678556489,19,36300.75488477334,0.011296113215299556
28,268,-497.77562645870563,0,0,1,2.4229457640709415,268,36037.989311238365,0.008041807212127033
29,1008,-518.0829989925952,0,1,0,0.9987764909100194,993,29697.941621044403,0.009963591475241238
30,303,-491.8213705300482,0,0,1,2.3434718623718993,303,34780.99536707013,0.011286205229845395
31,292,-507.9635333334089,0,1,0,0.998612392853882,292,27534.53115843559,0.013633430083805822
32,393,-504.5314771492704,0,1,0,0.9984449933457641,393,26642.125073406965,0.016216522806048635
33,275,-493.18107089248946,0,0,1,2.4591275269989388,275,36027.922170441576,0.009418703808198465
34,309,-503.43041102525086,0,0,1,1.5713047610106052,309,30001.682608482508,0.0077956964330917235
35,306,-508.54090753980137,0,0,1,1.3962262770199885,306,28955.87026083342,0.006879173029672398
36,304,-491.4931708566589,0,0,1,2.816126574290309,304,37688.72769658195,0.007277290740100466
37,366,-505.49060808865113,0,0,1,1.5467369837987603,366,29122.998197557612,0.009085329306018037
38,632,-526.2950668865503,0,0,1,3.161527820266889,458,34684.71460550598,-0.0007629495302382719
39,264,-497.9420864668493,0,0,1,2.4092603822119534,264,30823.965665092455,0.007123484106473287
40,262,-512.2293975006032,0,0,1,1.5367477727562897,262,31960.510179955374,0.004708135041519848
41,316,-497.48415007702204,0,0,1,2.126871326912265,316,28681.477253150744,0.007742694588805742
42,217,-499.6684211464788,0,0,1,4.148661887156624,0,35035.19418854102,0.003784250774564946
43,587,-531.4581898444683,0,0,1,2.192376668364285,587,40466.80112309462,-0.0016295253599403643
44,543,-484.83013535069966,0,0,1,1.8487700979130401,372,30534.466683133247,0.014272939263173417
45,2035,-536.3297838471508,0,1,0,0.9998992881739344,1826,24062.734536211352,0.006183083822963362
46,475,-526.9391032222455,0,0,1,2.2197067071878913,475,38240.64779225045,-0.001420872938049862
47,501,-516.161289176344,0,0,1,1.272734376685313,501,31155.22701523723,0.009363589875287142
48,386,-533.7716185910393,0,0,1,1.6597924803968973,386,34444.366472447975,-0.004823965947268509
49,256,-499.2786285015888,0,0,1,2.5416527572503247,256,35054.26770076317,0.006576169521648188
50,465,-525.7982765358989,0,0,1,3.107157537999601,394,34711.315144597385,-0.005167724444397957
51,213,-503.1286180229664,0,0,1,2.096722591126471,213,30830.088355512464,0.005680551849594414
52,289,-500.1950283392975,0,0,1,2.9519764421051757,289,31831.06331843138,0.005354079736001384
53,286,-496.8606236218427,0,0,1,2.335361199423018,286,28604.99364023021,0.008174999953107874
54,430,-518.3733760845597,0,0,1,2.933200279976235,430,38729.73017462157,-0.002519071330726069
55,284,-498.7693788687746,0,0,1,3.056913823565107,283,30912.68417304768,0.005126527924358393
56,510,-530.5660617174017,0,0,1,2.737036129203905,510,33619.594642949,-0.004493493630459238
57,568,-540.8228555201866,0,0,1,1.6208700640805214,568,35688.510388867835,-0.00011429511868815433
58,294,-497.01836881343706,0,0,1,3.475715014086367,179,33161.332353593636,0.006693200595625973
59,376,-515.6662648938101,0,0,1,3.364820841418463,365,38695.903770951925,-0.0034528254057144127
60,322,-508.3824304960831,0,0,1,1.9619633778475472,322,35000.50898628089,0.005298640009646725
61,677,-518.036377010015,0,0,1,2.1314456904705996,677,35074.585235612074,0.0014056804092090858
62,1024,-543.6500176638502,0,1,0,0.9995010657328591,1024,25168.426003514396,0.006857434393844521
63,1824,-603.0463273037689,0,1,0,0.9998582833457115,1824,23086.11117288071,0.0044750741159661385
64,1535,-511.1355044877326,0,1,0,0.9995433304096855,1535,22372.503420374072,0.006048800992033667
65,1506,-515.7642512320162,0,1,0,0.9999178804477055,1506,23854.38172160285,0.00614948080885016
