episode,steps,score,success,killed_by_sam,crashed,min_tf,in_radar_steps,range2d_last_m,progress_mean
43,315,-491.6853134943532,0,0,1,2.6916575155869435,300,30822.54774934615,0.008994828377096914
44,306,-498.5625800766816,0,0,1,1.864590209081909,306,29993.160966921845,0.009335057457637564
45,308,-495.607996576646,0,0,1,2.2887413235517653,308,33522.80159803056,0.008496922408909343
46,310,-495.98356155483214,0,0,1,1.9967959721889026,310,29493.428056031873,0.00905836477438995
47,344,-489.68262811705927,0,0,1,3.0458064187433567,215,34307.92257611989,0.00944627536821964
48,339,-494.20867872398446,0,0,1,2.2579690113074276,339,34526.43393917017,0.008804516062974773
49,309,-492.87518650091437,0,0,1,2.550025696594546,309,37122.470663978136,0.008295310887425345
50,301,-511.52572813966486,0,0,1,1.1133857188493743,301,28959.86582948171,0.007878647528242721
51,293,-491.2513705243355,0,0,1,3.0473484729985034,229,34415.749354560365,0.008148413161579141
52,318,-510.06410948115916,0,0,1,1.0309797783281571,318,27227.2979805406,0.009677181252060723
53,335,-494.4997979033804,0,0,1,2.0079078694124717,335,28206.30358060775,0.009520646569428571
54,301,-492.12633996190067,0,0,1,3.082755040383758,231,33127.65471369367,0.0077947602118734315
55,307,-498.97692264834575,0,0,1,1.7334491978010036,307,30548.298522140478,0.009352926279745679
56,353,-492.8608095719407,0,0,1,2.027243516833396,353,26658.23980150409,0.010536786807628049
57,305,-501.0053538709755,0,0,1,1.680306730303267,305,28262.367093659945,0.008289884949739475
58,308,-492.7239497816059,0,0,1,2.535804861446066,308,32437.593293646278,0.008324152663576176
59,328,-499.4263438935253,0,0,1,1.99439326055542,328,35392.86977024298,0.008315259671066602
60,325,-501.3301804233751,0,0,1,1.7081370933648607,325,34022.91506130065,0.009071990100855094
61,338,-489.06264953141965,0,0,1,3.290363706388018,173,33658.95247288353,0.0090298828829642
62,334,-492.0433135703636,0,0,1,2.646423288295378,312,33220.775293148516,0.00909109163747767
63,327,-491.10347729046055,0,0,1,2.720613718682256,300,33483.8670318777,0.008822443310555591
64,290,-500.7162871884135,0,0,1,1.694253879952457,290,30093.11817384682,0.008637795564214895
65,251,-508.1937353163623,0,1,0,0.9973804678674578,251,27794.883071145363,0.010202154859239533
66,292,-500.77789552885633,0,0,1,1.7487329367128115,292,32319.391647817258,0.008496082149720939
